11900	Smoking	Elegancki garnitur - w sam raz na œlub.
11901	Suknia Œlubna	Specjalna suknia u¿ywana przez kobiety podczas œlubu.	
18000	Pas Lniany+0		
18001	Pas Lniany+1		
18002	Pas Lniany+2		
18003	Pas Lniany+3		
18004	Pas Lniany+4		
18005	Pas Lniany+5		
18006	Pas Lniany+6
18007	Pas Lniany+7		
18008	Pas Lniany+8		
18009	Pas Lniany+9		
18010	Pas Skórzany+0		
18011	Pas Skórzany+1		
18012	Pas Skórzany+2		
18013	Pas Skórzany+3		
18014	Pas Skórzany+4		
18015	Pas Skórzany+5		
18016	Pas Skórzany+6		
18017	Pas Skórzany+7		
18018	Pas Skórzany+8		
18019	Pas Skórzany+9		
18020	Pas Przepychu+0		
18021	Pas Przepychu+1		
18022	Pas Przepychu+2		
18023	Pas Przepychu+3		
18024	Pas Przepychu+4		
18025	Pas Przepychu+5		
18026	Pas Przepychu+6		
18027	Pas Przepychu+7		
18028	Pas Przepychu+8		
18029	Pas Przepychu+9		
18030	Pas M¹droœci+0		
18031	Pas M¹droœci+1		
18032	Pas M¹droœci+2		
18033	Pas M¹droœci+3		
18034	Pas M¹droœci+4		
18035	Pas M¹droœci+5		
18036	Pas M¹droœci+6		
18037	Pas M¹droœci+7		
18038	Pas M¹droœci+8		
18039	Pas M¹droœci+9		
18040	Pas Króla+0		
18041	Pas Króla+1		
18042	Pas Króla+2		
18043	Pas Króla+3		
18044	Pas Króla+4		
18045	Pas Króla+5		
18046	Pas Króla+6		
18047	Pas Króla+7		
18048	Pas Króla+8		
18049	Pas Króla+9		
18050	Pas Mroku+0		
18051	Pas Mroku+1		
18052	Pas Mroku+2		
18053	Pas Mroku+3		
18054	Pas Mroku+4		
18055	Pas Mroku+5		
18056	Pas Mroku+6		
18057	Pas Mroku+7		
18058	Pas Mroku+8		
18059	Pas Mroku+9		
18060	Pas Runiczny+0		
18061	Pas Runiczny+1		
18062	Pas Runiczny+2		
18063	Pas Runiczny+3		
18064	Pas Runiczny+4		
18065	Pas Runiczny+5		
18066	Pas Runiczny+6		
18067	Pas Runiczny+7		
18068	Pas Runiczny+8		
18069	Pas Runiczny+9		
18070	Pas NiedŸwiedzi+0		
18071	Pas NiedŸwiedzi+1		
18072	Pas NiedŸwiedzi+2		
18073	Pas NiedŸwiedzi+3		
18074	Pas NiedŸwiedzi+4		
18075	Pas NiedŸwiedzi+5		
18076	Pas NiedŸwiedzi+6		
18077	Pas NiedŸwiedzi+7		
18078	Pas NiedŸwiedzi+8		
18079	Pas NiedŸwiedzi+9		
