AFF_LOVE_POINT	Punkty Miłosne: %d%%
ALIGNMENT_NAME	Punkty Rangi:
ATTACK_ERROR_UNKNOWN	Nieznany błąd podczas ataku: %s
CANNOT_ATTACK_DEST_IN_SAFE	Przeciwnik jest za daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Nie mogę zaatakować.
CANNOT_EQUIP_IN_EXCHANGE	Nie możesz zmieniać wyposażenia podczas handlowania.
CANNOT_EQUIP_IN_SHOP	Nie możesz zdjąć założonego ekwipunku podczas handlu.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nie możesz otworzyć Prywatnego Magazynu w miejscu publicznym.
CANNOT_SHOOT_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potrzebuję Strzały.
CANNOT_SHOOT_SELF_IN_SAFE	Nie mogę tego zrobić.
CANNOT_SKILL_APPROACH	Na pewno nie mogę podejść bliżej.
CANNOT_SKILL_ATTACK	Nie mogę zaatakować.
CANNOT_SKILL_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potrzebuję Wędki.
CANNOT_SKILL_HAVE_TO_RIDE	Potrzebuję Konia zanim będę mógł tego użyć.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nie mam Butelki Z Trucizną.
CANNOT_SKILL_NEED_TARGET	Kto jest celem?
CANNOT_SKILL_NOT_ENOUGH_HP	Mam za mało Punktów Życia!
CANNOT_SKILL_NOT_ENOUGH_SP	Mam za mało Punktów Energii!
CANNOT_SKILL_NOT_HORSE_SKILL	Nie mogę tego użyć podczas jazdy konnej.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Nie mogę użyć tej umiejętności z tą bronią.
CANNOT_SKILL_NOT_YET_LEARN	Nie opanowałem tej umiejętności.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To działa tylko na członków grupy.
CANNOT_SKILL_ONLY_FOR_CORPSE	To działa tylko na martwych ludzi.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nie mogę użyć tej umiejętności z Wędką.
CANNOT_SKILL_SELF_IN_SAFE	Nie mogę zaatakować z tego miejsca.
CANNOT_SKILL_USE_SELF	Nie mogę tego użyć na sobie.
CANNOT_SKILL_WAIT_COOLTIME	Nie mogę jeszcze użyć tej Umiejętności.
CANNOT_USE	Nie możesz go użyć.
CANNOT_WHISPER_DEST_REFUSE	%s zablokował możliwość szeptania.	SA
CANNOT_WHISPER_NOT_LOGON	%s nie jest zalogowany.	SA
CANNOT_WHISPER_SELF_REFUSE	Nie możesz pisać do innych gdy masz zablokowane szeptanie.	SNA
CHANNEL	Kanał
CHANNELING_CANNOT_LOGOUT	Nie możesz wrócić do okna logowania.
CHANNEL_EMPTY_SERVER	Brak Serwera
CHANNEL_NORMAL	Kanał %d
CHANNEL_NOTIFY_FULL	Ten Kanał jest pełny! Proszę wybrać inny.
CHANNEL_NOT_FIND_INFO	Brak informacji o tym kanale.
CHANNEL_PVP	Wolny pojedynek
CHANNEL_SELECT_CHANNEL	Wybierz Kanał
CHANNEL_SELECT_REGION	Wybierz region.
CHANNEL_SELECT_SERVER	Wybierz serwer
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Utwórz postać
CHAT_ALL	Wszystko
CHAT_BLOCK	Blok
CHAT_GUILD	Gildia
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	To zdanie zawiera niepoprawne słowa.
CHAT_LOG	Pokaż stare wiadomości [L]
CHAT_LOG_TITLE	Protokół wiadomości
CHAT_NORMAL	Normalne
CHAT_NOTICE	Ogłoszenia
CHAT_PARTY	Grupa
CHAT_SEND_CHAT	Wyślij wiadomość
CHAT_SEND_MEMO	Wyślij szept [Shift+Enter]
CHAT_SHOUT	Wołaj
CHAT_SHOUT_LIMIT	Możesz wołać tylko co 15 sekund.
CHAT_WHISPER	Szeptanie
YANG_SYSTEM_SELL_PRICE	[Cena sprzedaży]
CREATE_ERROR_GM_NAME	Nie jesteś upoważniony do użycia ,GM‘ w swojej nazwie postaci.
CREATE_ERROR_INSULT_NAME	Ta nazwa jest niepoprawna.
CREATE_ERROR_LIMIT_LEVEL	Twoja postać musi znajdować się przynajmniej na poziomie 80.
CREATE_ERROR_TIME_LIMIT	Możesz tworzyć nową postać tylko co 30 sek.
CREATE_ERROR_WRONG_STRING	Ta nazwa postaci jest niedozwolona.
CREATE_ERROR_LIMIT_CHARACTER	Ta nazwa postaci jest za długa, maksymalnie 15 znaków.
CREATE_EXIST_SAME_NAME	Nazwa jest już w użyciu.
CREATE_FAILURE	Nie możesz stworzyć postaci
CREATE_FULL	Nie możesz utworzyć więcej postaci.
CREATE_CHARACTER_DISABLED	Tworzenie nowych postaci zostało tymczasowo wyłączone.
CREATE_LOGIN_TO_NAME	Nazwa postaci nie może być identyczna z loginem. Wybierz inną nazwę dla swojej postaci.
CREATE_NAME_TO_COMPICATE	Wybrana nazwa postaci jest zbyt skomplikowana.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Wybierz nazwę.
CREATE_PLUS_STAT	Nadal pozostały punkty statusu.
DAY	Dni
DO_YOU_BUY_ITEM1	Czy chcesz kupić %s za %s?
DO_YOU_BUY_ITEM2	Czy chcesz kupić %s %s za %s?
DO_YOU_DROP_MONEY	Czy chcesz upuścić %d Yang?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedać %s za %s?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedać %s %s za %s?
DRAGON_SOUL_CANNOT_REFINE	Nie możesz uszlachetnić tego Smoczego Kamienia.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ten Smoczy Kamień osiągnął już najwyższy poziom.
DRAGON_SOUL_EQUIP_WARNING1	Usunięcie Smoczego Kamienia nie jest prostą sprawą.
DRAGON_SOUL_EQUIP_WARNING2	Chcesz mimo to kontynuować?
DRAGON_SOUL_EXPIRED	Wygasły Smoczy Kamień
DRAGON_SOUL_INVALID_DRAGON_SOUL	To nieprawidłowy Smoczy Kamień.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	To nie jest Smoczy Kamień.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	To nieprawidłowy Smoczy Kamień.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nie posiadasz wystarczająco materiału do uszlachetnienia.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ten Smoczy Kamień nie pasuje do tej kieszeni.
DRAGON_SOUL_STEP_LEVEL1	Jakość: mętny,
DRAGON_SOUL_STEP_LEVEL2	Jakość: przejrzysty,
DRAGON_SOUL_STEP_LEVEL3	Jakość: bez skazy,
DRAGON_SOUL_STEP_LEVEL4	Jakość: znakomity,
DRAGON_SOUL_STEP_LEVEL5	Jakość: wyborny,
DRAGON_SOUL_STRENGTH	Poziom: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Smoczy Kamień może ulec zniszczeniu.
DRAGON_SOUL_UNEQUIP_WARNING2	Chcesz mimo to kontynuować?
DRAGON_SOUL_UNMATCHED_SLOT	To nieprawidłowy slot.
DRAGON_SOUL_UNQUALIFIED	Nie możesz jeszcze użyć alchemii Smoczych Kamieni.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie możesz upuścić założonych przedmiotów.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz upuścić Przedmiotu z ekwipunku jeśli otworzyłeś prywatny Magazyn.
DROP_MONEY_FAILURE_1000_OVER	Możesz upuścić maksimum 999 Yang.
EMOTION_ANGRY	Denerwować
EMOTION_ATTRACTIVE	Uwodzić
EMOTION_BANTER	Drwić
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselać
EMOTION_CHOOSE_ONE	Wybierz cel.
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Pocałunek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Wybaczyć
EMOTION_FRENCH_KISS	Francuski pocałunek
EMOTION_JOY	Radość
EMOTION_SAD	Smutek
EMOTION_SHY	Odmowa
